squirt	v. 喷出，溅进
stable	adj. 稳定的，相对固定的
stability	n. 稳定性
stabilize	v. 使稳定，使坚固
stack	n./v. 堆；堆积
staff	n. 全体人员或职员
despoiler	n. 掠夺者
sponge	n./v. 海绵；用海绵擦拭
spontaneous	adj. 自发的，自然产生的
spontaneously	adv. 自然地，本能地
spontaneity	n. 自然，自发
spoon	n./v. 匙，勺子；用勺舀
spot	n./v. 地点，场所；发现
spotless	adj. 没有污点的
spotlight	n./v. 强调，突出；重点
highlight	n./v. 使显著，突出；重点
sprawl	散乱地延伸
spray	喷雾，飞沫
spring	n./v. 泉；弹簧；跳跃，涌出
spring up	v. 出现，产生
springtime	n. 春天，春季
springwater	n. 天然泉水
offspring	n. (单复数同形)子孙，后代
mainspring	n. (钟表的)主发条
sprout	长出，萌芽
spur	踢马刺
squarely	adv. 直接地；正面地；恰当地；正好
squash	南瓜
squeeze	榨；挤进，塞进
squirrel	松鼠
stagecoach	公共马车
coach	教练
stagger	蹒跚，摇晃
staggering	巨大的，惊人的
stagnant	停滞的, 迟钝的
stain	污点，瑕疵
stained	污染的，玷污的
sustain	支撑；维持，持续
staircase	楼梯
stalk	隐伏跟踪（猎物）
stamina	体力，耐力
stand	站立；忍受，容忍
stand in the way of	挡住...的道路
withstand	抵挡，经受住
standpoint	立场，观点
newsstand	报摊，杂志摊
standard	标准（的）
standardize	使符合标准，使标准化
standardized	标准化的
standing	固定的，常设的
long-standing	长期存在的
outstanding	杰出的，显著的
stanza	（诗）节，段
staple	主要产品，日常必需品
starch	淀粉；淀粉食物
stardom	明星的身份或地位
starfish	海星
stark	光秃秃的；荒凉的
starve	挨饿
starvation	饥饿，饿死
stash	藏或贮存于一秘密处所
stately	庄严的，堂皇的
stationary	固定的；静止的
stationery	文具
statistics	统计学
statue	雕像
stature	身高，身材；声望，地位
status	状况；身份，地位
steadfast	坚定的，坚信的
steady	稳的，牢固的
steak	(供煎, 烤等的)肉, 牛排
steep	险峻的，陡峭的
steer	驾驶，掌舵
stellar	星的，星球的
interstellar	星际的
stem	（植物的）茎
sterile	贫瘠的；不育的
stern	苛刻的，严格的；严厉的
stick	棍，棒；手杖
sticky	粘的，粘性的
matchstick	火柴杆
yardstick	<美> 码尺, 准绳
stickpin	领带夹
stiff	硬的，僵直的
stiffen	使硬，使僵硬
stifle	使窒息；扼杀，抑制
stimulate	刺激，激励，激发
stimulation	激励，鼓舞，刺激
stimulus	刺激；刺激物
stimuli	stimulus复数
stimulant	刺激物，兴奋剂
sting	刺；刺痛
stipend	薪贴；奖学金；养老金
stipulate	约定，规定
stipulation	规定，条款
stitch	缝
stock car racing	专业汽车比赛
stocky	(人或动物)矮而结实的，粗壮的
stonemason	石工，石匠
stout	结实的，勇敢坚定的
strain	过度的疲劳，紧张
constrain	抑制，拘束
constraint	约束，强制
restraint	抑制，克制
unrestrained	无限制的
strand	绳、线之一股
strap	带，皮带
strata	地层（复数）
stratum	地层（单数）；阶层
strengthen	加强，巩固
strenuous	费力的；艰辛的
strenuously	奋发地，费力地
stretch	伸展，伸长
stride	大步，一跨步
strike	罢工，打击
striking	醒目的，惊人的
strikingly	醒目地, 引人侧目地
string	（乐器的）弦；细绳，带子
strings	弦乐器
stringent	严厉的
strip	剥夺；剥掉
stripe	斑纹，条纹
strive	努力，奋斗；力求
stroke	（绘画等）一笔；一击
stubborn	顽固的，固执的
stubbornness	倔强，顽强
studio	录音室；艺术家工作室
stumble	绊倒
stunning	令人惊叹的，极好的
stun	使晕倒，打晕；使震惊
