index	term	definition
1	preponderance	（数量或力量上的）优势
2	prerequisite	先决条件
3	prerequisite	首要必备的
4	prescribe	指示，规定
5	prescribe	开药方
6	prescribed	规定的
7	prescription	药方，处方
8	presence	出席，到场
9	preserve	保存
10	preservative	防腐剂
11	preservation	保存，贮藏；保护
12	presidency	总统职位；总统任期
13	presidential election	总统选举
14	preside over	主持
15	pressure	压力；压迫
16	prestige	威望，声望
17	prestigious	有名望的，有威信的
18	presumably	推测起来, 大概
19	pretension	要求；自命，自称；自负
20	prevailing	流行的，盛行的
21	prevail	盛行，居主导地位
22	prevalent	普遍的；流行的
23	prey	被掠食者，牺牲者，食物
24	prey	捕食，掠夺
25	osprey	鱼鹰
26	primal	原始的；最初的
27	primal	最重要的
28	primate	灵长目动物
29	primate	首要的，第一的
30	prime	主要的
31		鼎盛时期
32	primary	第一位的，主要的
33	prime number	素数
34	heyday	全盛期
35	primitive	上古的，原始的
36	primordial	原始的，最初的
37	priority	优先，优先权
38	pristine	原始的，未被破坏的
39	privilege	给与...特权，特免 n. 特权
40	probe	调查，查究
41	proceed	进行，继续下去
42	proceeds	（pl）收益
43	proceeding	行动；进行
44	process	过程； vt. 加工
45	proclaim	声明，宣告
46	proclivity	倾向，癖性
47	prod	戳，刺
48		刺激，激励
49	prodigious	巨大的，惊人的；挥霍的
50	prodigy	非凡之人，天才
51	produce	生产 n. 农副产品
52	profession	职业，专业
53	professional	专业的，职业的
54	professionalism	专家的地位,特性或方法, 专业主义
55	proficient	熟练的，精通的
56	proficiency	熟练，精通
57	profile	剖面，侧面；轮廓
58	profound	深刻的，深奥的
59	profoundly	深深地，衷心地
60	progress	前进，发展
61	progression	行进；次序
62	progressive	前进的；累进的
63	prohibit	禁止
64	prohibitive	禁止的，抑制的
65	prohibitively	令人望而却步地；(价格)极高地
66	project	设计，规划；项目
67	projecting	突出的，伸出的
68	projector	放映机
69	projection	发射
70	projectionist	电影放映员，幻灯放映员
71	proliferate	激增；繁殖
72	proliferation	繁殖，大量增殖
73	prolific	多产的，多结果的
74	prolong	拖长，延长
75	prominent	杰出的，突出的
76	prominence	显著，突出
77	promising	有前途的，有希望的
78	unpromising	无前途的，没有希望的
79	compromise	妥协，折衷
80	promote	晋级，使升级；促进
81	promoter	促进者
82	prompt	鼓动，促进
83		迅速的；按时地
84	prone	易于...的；倾向于...的
85	pronounced	显著的，明确地
86	proof	证据
87	proofread	校正，校对
88	fireproof	耐火的，防火的
89	waterproof	防水的
90	soundproof	隔音的
91	rustproof	不锈的
92	propagate	繁殖
93		散布，传播
94	propel	推进，促进
95	propellant	推进物
96	propensity	倾向，癖好
97	proper	恰当的，得体的
98	property	财产，所有物；性质，特性；（小）道具[pl]
99	proponent	支持者，拥护者
100	opponent	对手，敌手，反对者
101	proportion	比例，比率
102	disproportionate	不成比例的
103	propose	提出，提议
104	proposal	提案；建议
105	proprietor	所有者，业主
106	proprietorship	所有权
107	propulsion	推进；推进力
108	prose	散文
109	prosecute	对...起诉；告发
110	prospect	前景，期望
111		勘探，采矿
112	prospecting	探矿
113	prospector	勘探者，采矿者
114	prosper	繁荣，成功
115	prosperity	繁荣，兴旺
116	prosperous	成功的，繁荣的
117	protagonist	领导者
118		(戏剧, 故事, 小说中的)主角
119	protectionist	贸易保护主义者
120	protein	蛋白质
121	protest	抗议
122	prototype	原型
123	protruding	突出的
124	provincialism	地方主义，心胸狭窄
125	provision	供应，供应品
126		规定，条款
127	provoke	激怒，惹起
128	provocative	挑拨的；煽动的
129	provocation	激怒，挑拨，刺激
130	prudent	审慎的，深谋远虑的
131	pry open	撬开
132	psychology	心理学；心理
133	parapsychology	超心理学
134	publicize	（公开）宣传，宣扬
135	publicity	公开，宣传
136	puddle	小水洼
137	pueblo	印第安人村庄
138	pulp	果肉
139	pulse	脉搏，脉冲
140	impulse	推动，刺激；冲动
141	pump	泵
142		（用泵）抽，抽吸
143	pumpkin	南瓜
144	punch	重击
145		打（孔）
146	puncture	刺穿，戳破
147	acupuncture	针刺；针灸
148	pungent	（气味、味道）刺激性的，辛辣的；尖锐的
149	pupil	瞳孔
150	purple	紫色
151	purify	提炼，精炼
152	purified	纯净的
153	purification	纯化，净化
154	puzzle	难题，谜
155		（使）困惑，为难
156	puzzling	使迷惑的，使莫名其妙的
157	pyramid	金字塔
158	quail	鹌鹑
159		畏惧，颤抖
160	quaint	奇怪的，离奇有趣的
161	acquaint	使熟知，通知
162	acquaintance	相识，熟人
163	acquainted	有知识的，知晓的
164	qualified	合格的
165	qualification	资格，条件
166	quantitative	定量的；数量的
167	quantum theory	（物理）量子论
168	quarry	采石场，露天矿场
169	quarter	四分之一
170	quarterly	每季地
171	headquarters	司令部，总部
172	quartz	石英
173	quench	淬火
174		熄灭
175		解渴
176	quest	寻找，探索
177	questionable	可疑的
178	questionnaire	调查表, 问卷
179	unquestioning	不加疑问的,不犹豫的
180	unquestionably	无疑地，无可非议地
181	request	请求，要求
182	bequest	遗产，遗赠
183	sequester	使退隐，使隔绝
184	equestrian	骑马的, (古罗马)市民特权阶层成员的, 骑士阶层的
