discipline	word	ipa	definition	freq	docs	listening_specific
校园对话 Campus	paper	/ˈpeɪpər/	n. 纸；论文	89	37	Y
校园对话 Campus	university	/ˌjuːnɪˈvɜːrsəti/	n. 大学	76	38	Y
校园对话 Campus	library	/ˈlaɪbreri/	n. 图书馆；借书处	57	20	Y
校园对话 Campus	semester	/səˈmestər/	n. 学期	52	27	Y
校园对话 Campus	thanks	/θæŋks/	n. 感谢 int. 谢谢	47	38	Y
校园对话 Campus	computer	/kəmˈpjuːtər/	n. 计算机；电脑	43	21	Y
校园对话 Campus	campus	/ˈkæmpəs/	n. 校园	40	24	Y
校园对话 Campus	working	/ˈwɜːrkɪŋ/	v./adj. 工作（的）；忙于…（如 working on 正在做）	39	28	Y
校园对话 Campus	department	/dɪˈpɑːrtmənt/	n. 系；部门	38	24	Y
校园对话 Campus	office	/ˈɔːfɪs/	n. 办公室	36	20	Y
校园对话 Campus	manager	/ˈmænɪdʒər/	n. 经理；管理人员	34	8	Y
校园对话 Campus	research	/rɪˈsɜːrtʃ/	n./v. 研究	33	18	Y
校园对话 Campus	name	/neɪm/	n. 名字 v. 命名	30	19	Y
校园对话 Campus	building	/ˈbɪldɪŋ/	n. 建筑，建筑物	30	16	Y
校园对话 Campus	center	/ˈsentər/	n. 中心；中心机构（如 student center 学生活动中心）	29	15	Y
校园对话 Campus	program	/ˈproʊɡræm/	n. 项目；计划；课程；节目	29	12	Y
校园对话 Campus	music	/ˈmjuːzɪk/	n. 音乐	29	9	Y
校园对话 Campus	writing	/ˈraɪtɪŋ/	n. 写作；文字，书写	28	17	Y
校园对话 Campus	couple	/ˈkʌpl/	n. 一对；夫妇；几个（a couple of 两三个）	27	21	Y
校园对话 Campus	information	/ˌɪnfərˈmeɪʃn/	n. 信息；资料	27	20	Y
校园对话 Campus	interested	/ˈɪntrəstɪd/	adj. 感兴趣的（be interested in 对…感兴趣）	26	22	Y
校园对话 Campus	graduate	/ˈɡrædʒuət/	n. 毕业生；研究生 v. /ˈɡrædʒueɪt/ 毕业	26	20	Y
校园对话 Campus	hall	/hɔːl/	n. 大厅；宿舍楼（residence hall 学生宿舍）	25	14	Y
校园对话 Campus	topic	/ˈtɑːpɪk/	n. 话题；主题	25	13	Y
校园对话 Campus	dorm	/dɔːrm/	n. 宿舍（dormitory 的缩写）	25	12	Y
校园对话 Campus	club	/klʌb/	n. 俱乐部；社团	25	8	Y
校园对话 Campus	painting	/ˈpeɪntɪŋ/	n. 绘画，油画	24	6	Y
校园对话 Campus	trip	/trɪp/	n. 旅行；行程	24	6	Y
校园对话 Campus	history	/ˈhɪstəri/	n. 历史	23	13	Y
校园对话 Campus	reading	/ˈriːdɪŋ/	n. 阅读；读物	22	17	Y
校园对话 Campus	change	/tʃeɪndʒ/	n. 变化；零钱 v. 改变；更换	22	15	Y
校园对话 Campus	fair	/fer/	n. 展览会；集市（job fair 招聘会） adj. 公平的	22	8	Y
校园对话 Campus	plan	/plæn/	n. 计划 v. 计划；打算	21	18	Y
校园对话 Campus	review	/rɪˈvjuː/	n./v. 复习；回顾；评论	21	8	Y
校园对话 Campus	bring	/brɪŋ/	v. 带来；拿来	20	14	Y
校园对话 Campus	open	/ˈoʊpən/	adj. 开放的；开着的 v. 打开；开放	20	13	Y
校园对话 Campus	list	/lɪst/	n. 清单；列表 v. 列出	20	12	Y
校园对话 Campus	schedule	/ˈskedʒuːl/	n.时间表,进度表 v.安排,预定	20	12	Y
校园对话 Campus	experience	/ɪkˈspɪriəns/	n. 经验；经历；v. 经历	19	17	Y
校园对话 Campus	material	/məˈtɪriəl/	n. 材料，素材	19	11	Y
校园对话 Campus	service	/ˈsɜːrvɪs/	n. 服务，服务处	19	9	Y
校园对话 Campus	director	/dəˈrektər/	n. 导演；主任，主管	19	8	Y
校园对话 Campus	marketing	/ˈmɑːrkɪtɪŋ/	n. 市场营销	19	6	Y
校园对话 Campus	teaching	/ˈtiːtʃɪŋ/	n. 教学；教导	18	11	Y
校园对话 Campus	chapter	/ˈtʃæptər/	n. 章节	18	7	Y
校园对话 Campus	author	/ˈɔːθər/	n. 作者，作家	18	6	Y
校园对话 Campus	employee	/ɪmˈplɔɪiː/	n. 雇员，员工	93	24	N
校园对话 Campus	check	/tʃek/	v. 检查，核实 n. 检查；支票（check out 借出）	42	27	N
校园对话 Campus	company	/ˈkʌmpəni/	n. 公司；陪伴	30	10	N
校园对话 Campus	copy	/ˈkɑːpi/	n. 副本，一份；v. 复制	26	14	N
校园对话 Campus	career	/kəˈrɪr/	n. 职业，生涯	25	7	N
日常短语 Daily Phrases	jot down	/ˈdʒɑːt daʊn/	v. 匆匆记下，草草记下	2	2	Y
日常短语 Daily Phrases	put sb. off	/ˌpʊt ˈɔːf/	v. 使…打消念头/失去兴趣；使…反感	1	1	Y
生物学 Biology	specie	/ˈspiːʃiːz/	物种	167	43	Y
生物学 Biology	behavior	/bɪˈheɪvjər/	n. 行为	82	22	Y
生物学 Biology	temperature	/ˈtɛmpərətʃər/	n. 温度	62	17	Y
生物学 Biology	environment	/ɪnˈvaɪrənmənt/	n. 环境	61	31	Y
生物学 Biology	habitat	/ˈhæbɪtæt/	n. 栖息地；生长地	61	13	Y
生物学 Biology	researcher	/rɪˈsɜːrtʃər/	n. 研究者；研究员	60	23	Y
生物学 Biology	energy	/ˈenərdʒi/	n. 能量；精力	60	21	Y
生物学 Biology	system	/ˈsɪstəm/	n. 系统；体系；制度	53	22	Y
生物学 Biology	life	/laɪf/	n. 生活；生命	52	32	Y
生物学 Biology	forest	/ˈfɔːrɪst/	n. 森林	52	13	Y
生物学 Biology	biology	/baɪˈɑːlədʒi/	n. 生物学	51	47	Y
生物学 Biology	experiment	/ɪkˈsperɪmənt/	n. 实验；v. 做实验	51	19	Y
生物学 Biology	process	/ˈprɑːsɛs/	n. 过程，作用；v. 处理	50	26	Y
生物学 Biology	predator	/ˈpredətər/	n. 捕食者；掠食动物	49	19	Y
生物学 Biology	dinosaur	/ˈdaɪnəsɔːr/	n. 恐龙	49	5	Y
生物学 Biology	population	/ˌpɑːpjuˈleɪʃn/	n. 人口	48	16	Y
生物学 Biology	ability	/əˈbɪləti/	n. 能力；才能	44	21	Y
生物学 Biology	theory	/ˈθɪəri/	n. 理论，学说	42	16	Y
生物学 Biology	nest	/nest/	n. 巢；窝	42	8	Y
生物学 Biology	coral	/ˈkɔːrəl/	n. 珊瑚	41	5	Y
生物学 Biology	flower	/ˈflaʊər/	n. 花；v. 开花	40	8	Y
生物学 Biology	organism	/ˈɔːrɡənɪzəm/	n. 生物，有机体	39	18	Y
生物学 Biology	relationship	/rɪˈleɪʃnʃɪp/	n. 关系	35	13	Y
生物学 Biology	bacteria	/bækˈtɪriə/	n. 细菌（复数）	35	9	Y
生物学 Biology	organic	/ɔːrˈɡænɪk/	adj. 有机的	35	6	Y
生物学 Biology	research	/rɪˈsɜːrtʃ/	n./v. 研究	34	26	Y
生物学 Biology	survive	/sərˈvaɪv/	v. 存活；幸存	32	17	Y
生物学 Biology	ecosystem	/ˈiːkoʊsɪstəm/	n. 生态系统	31	11	Y
生物学 Biology	leaf	/liːf/	n. 叶；叶子	30	14	Y
生物学 Biology	fossil	/ˈfɑːsəl/	n. 化石	30	8	Y
生物学 Biology	pressure	/ˈprɛʃər/	n. 压力，压强	30	7	Y
生物学 Biology	protein	/ˈproʊtiːn/	n. 蛋白质	28	10	Y
生物学 Biology	chemical	/ˈkemɪkl/	adj. 化学的 n. 化学物质	27	14	Y
生物学 Biology	creature	/ˈkriːtʃər/	n. 生物；动物	27	11	Y
生物学 Biology	affect	/əˈfekt/	v. 影响	26	16	Y
生物学 Biology	surface	/ˈsɜːrfəs/	n. 表面，地表	25	13	Y
生物学 Biology	cycle	/ˈsaɪkl/	n. 循环；周期	25	9	Y
生物学 Biology	mammal	/ˈmæml/	n. 哺乳动物	25	9	Y
生物学 Biology	material	/məˈtɪriəl/	n. 材料，素材	24	12	Y
生物学 Biology	nutrient	/ˈnuːtriənt/	n. 营养物质	24	10	Y
生物学 Biology	seed	/siːd/	n. 种子	24	8	Y
生物学 Biology	feather	/ˈfeðər/	n. 羽毛	23	8	Y
生物学 Biology	attention	/əˈtenʃn/	n. 注意力	23	7	Y
