species	/ˈspiːʃiːz/	n. 物种
behavior	/bɪˈheɪvjər/	n. 行为
temperature	/ˈtemprətʃər/	n. 温度
environment	/ɪnˈvaɪrənmənt/	n. 环境
habitat	/ˈhæbɪtæt/	n. 栖息地；生长地
researcher	/ˈriːsɜːrtʃər/	n. 研究人员
energy	/ˈenərdʒi/	n. 能量
system	/ˈsɪstəm/	n. 系统
life	/laɪf/	n. 生命；生活
forest	/ˈfɔːrɪst/	n. 森林
biology	/baɪˈɑːlədʒi/	n. 生物学
experiment	/ɪkˈsperɪmənt/	n. 实验；v. 做实验
process	/ˈprɑːses/	n. 过程；v. 处理
predator	/ˈpredətər/	n. 捕食者；掠食动物
dinosaur	/ˈdaɪnəsɔːr/	n. 恐龙
population	/ˌpɑːpjuˈleɪʃn/	n. 种群；人口
ability	/əˈbɪləti/	n. 能力
theory	/ˈθiːəri/	n. 理论
nest	/nest/	n. 巢；窝
coral	/ˈkɔːrəl/	n. 珊瑚
flower	/ˈflaʊər/	n. 花；v. 开花
organism	/ˈɔːrɡənɪzəm/	n. 生物体；有机体
source	/sɔːrs/	n. 来源；源头
activity	/ækˈtɪvəti/	n. 活动
relationship	/rɪˈleɪʃnʃɪp/	n. 关系
bacteria	/bækˈtɪriə/	n. 细菌（复数）
organic	/ɔːrˈɡænɪk/	adj. 有机的
research	/rɪˈsɜːrtʃ/	n. 研究；v. 研究
survive	/sərˈvaɪv/	v. 存活；幸存
ecosystem	/ˈiːkoʊsɪstəm/	n. 生态系统
leaf	/liːf/	n. 叶；叶子
fossil	/ˈfɑːsl/	n. 化石
pressure	/ˈpreʃər/	n. 压力
turn	/tɜːrn/	v. 转变；变成；n. 转折
stream	/striːm/	n. 溪流；水流
others	/ˈʌðərz/	pron. 其他（生物/事物）
natural	/ˈnætʃrəl/	adj. 自然的
protein	/ˈproʊtiːn/	n. 蛋白质
possible	/ˈpɑːsəbl/	adj. 可能的
result	/rɪˈzʌlt/	n. 结果；v. 导致
chemical	/ˈkemɪkl/	adj. 化学的；n. 化学物质
object	/ˈɑːbdʒekt/	n. 物体
creature	/ˈkriːtʃər/	n. 生物；动物
adult	/əˈdʌlt/	n. 成年个体；成虫
affect	/əˈfekt/	v. 影响
family	/ˈfæməli/	n. 科（分类）；家庭
mind	/maɪnd/	n. 心智；思维
information	/ˌɪnfərˈmeɪʃn/	n. 信息
explain	/ɪkˈspleɪn/	v. 解释
seems	/siːmz/	v. 似乎；看起来
along	/əˈlɔːŋ/	prep. 沿着；adv. 一起
themselves	/ðəmˈselvz/	pron. 它们自己
young	/jʌŋ/	adj. 幼小的；n. 幼崽；幼体
increase	/ɪnˈkriːs/	v. 增加；n. 增加
surface	/ˈsɜːrfɪs/	n. 表面
cycle	/ˈsaɪkl/	n. 循环；周期
mammal	/ˈmæml/	n. 哺乳动物
solid	/ˈsɑːlɪd/	adj. 固体的；n. 固体
hard	/hɑːrd/	adj. 坚硬的；困难的
north	/nɔːrθ/	n. 北方；adj. 北方的
material	/məˈtɪriəl/	n. 材料；物质
nutrient	/ˈnuːtriənt/	n. 营养物质
seed	/siːd/	n. 种子
living	/ˈlɪvɪŋ/	adj. 有生命的；活的
clear	/klɪr/	adj. 清晰的；v. 清除
feather	/ˈfeðər/	n. 羽毛
attention	/əˈtenʃn/	n. 注意力
migration	/maɪˈɡreɪʃn/	n. 迁徙
either	/ˈiːðər/	conj. 或者；adv. 也
using	/ˈjuːzɪŋ/	v. 使用（use 的现在分词）
insect	/ˈɪnsekt/	n. 昆虫
trip	/trɪp/	n. 旅行；行程
mouse	/maʊs/	n. 老鼠
order	/ˈɔːrdər/	n. 目（分类）；顺序
itself	/ɪtˈself/	pron. 它自己
almost	/ˈɔːlmoʊst/	adv. 几乎
recently	/ˈriːsntli/	adv. 最近
similar	/ˈsɪmələr/	adj. 相似的
spot	/spɑːt/	n. 斑点；地点；v. 发现
root	/ruːt/	n. 根
wood	/wʊd/	n. 木材；木头
support	/səˈpɔːrt/	v. 支持；支撑；n. 支持
structure	/ˈstrʌktʃər/	n. 结构
development	/dɪˈveləpmənt/	n. 发育；发展
america	/əˈmerɪkə/	n. 美洲；美国
developed	/dɪˈveləpt/	adj. 发达的；v. 发展（develop 的过去分词）
best	/best/	adj. 最好的；adv. 最好地
break	/breɪk/	v. 打破；断裂
become	/bɪˈkʌm/	v. 变成
function	/ˈfʌŋkʃn/	n. 功能；v. 起作用
seem	/siːm/	v. 似乎
characteristic	/ˌkærəktəˈrɪstɪk/	n. 特征；adj. 典型的
parent	/ˈperənt/	n. 亲代；父母
oxygen	/ˈɑːksɪdʒən/	n. 氧气
care	/ker/	v. 照顾；关心；n. 照料
reach	/riːtʃ/	v. 到达；达到
imagine	/ɪˈmædʒɪn/	v. 想象
single	/ˈsɪŋɡl/	adj. 单一的
discovered	/dɪˈskʌvərd/	v. 发现（discover 的过去式/分词）
factor	/ˈfæktər/	n. 因素
active	/ˈæktɪv/	adj. 活跃的
biologist	/baɪˈɑːlədʒɪst/	n. 生物学家
response	/rɪˈspɑːns/	n. 反应；回应
carbon	/ˈkɑːrbən/	n. 碳
travel	/ˈtrævl/	v. 移动；旅行
american	/əˈmerɪkən/	adj. 美国的；n. 美国人
nitrogen	/ˈnaɪtrədʒən/	n. 氮；氮气
chance	/tʃæns/	n. 机会；可能性
true	/truː/	adj. 真实的
especially	/ɪˈspeʃəli/	adv. 尤其
longer	/ˈlɔːŋɡər/	adj. 更长的
evolved	/ɪˈvɑːlvd/	v. 进化（evolve 的过去式/分词）
matter	/ˈmætər/	n. 物质；v. 重要
region	/ˈriːdʒən/	n. 区域
whether	/ˈweðər/	conj. 是否
growing	/ˈɡroʊɪŋ/	v. 生长（grow 的现在分词）；adj. 生长的
inside	/ˌɪnˈsaɪd/	prep. 在……内部；adv. 在里面
learned	/ˈlɜːrnd/	adj. 习得的；v. 学习（learn 的过去式/分词）
feature	/ˈfiːtʃər/	n. 特征；特点
season	/ˈsiːzn/	n. 季节
evolution	/ˌevəˈluːʃn/	n. 进化
shape	/ʃeɪp/	n. 形状；v. 塑造
muscle	/ˈmʌsl/	n. 肌肉
wall	/wɔːl/	n. 壁；墙（如细胞壁）
ancient	/ˈeɪnʃənt/	adj. 古代的
based	/beɪst/	v. 基于（base 的过去分词）
closely	/ˈkloʊsli/	adv. 紧密地；密切地
distance	/ˈdɪstəns/	n. 距离
organ	/ˈɔːrɡən/	n. 器官
various	/ˈveriəs/	adj. 各种各样的
century	/ˈsentʃəri/	n. 世纪
speed	/spiːd/	n. 速度
learn	/lɜːrn/	v. 学习
reptile	/ˈreptaɪl/	n. 爬行动物
cognitive	/ˈkɑːɡnətɪv/	adj. 认知的
social	/ˈsoʊʃl/	adj. 社会的；群居的
blind	/blaɪnd/	adj. 瞎的；盲的
freezing	/ˈfriːzɪŋ/	adj. 极冷的；冰冻的
ever	/ˈevər/	adv. 曾经；永远
easily	/ˈiːzəli/	adv. 容易地
lower	/ˈloʊər/	adj. 较低的；v. 降低
mentioned	/ˈmenʃənd/	v. 提到（mention 的过去式/分词）
stop	/stɑːp/	v. 停止
believe	/bɪˈliːv/	v. 相信
eventually	/ɪˈventʃuəli/	adv. 最终
larger	/ˈlɑːrdʒər/	adj. 更大的
period	/ˈpɪriəd/	n. 时期；周期
stay	/steɪ/	v. 停留；保持
survival	/sərˈvaɪvl/	n. 生存；幸存
direction	/dəˈrekʃn/	n. 方向
carry	/ˈkæri/	v. 携带；搬运
classified	/ˈklæsɪfaɪd/	v. 分类（classify 的过去式/分词）
outside	/ˌaʊtˈsaɪd/	prep. 在……外部；adv. 在外面
scientist	/ˈsaɪəntɪst/	n. 科学家
fewer	/ˈfjuːər/	adj. 更少的
moving	/ˈmuːvɪŋ/	adj. 移动的；v. 移动（move 的现在分词）
native	/ˈneɪtɪv/	adj. 本地的；土生土长的
member	/ˈmembər/	n. 成员
pattern	/ˈpætərn/	n. 模式；图案
prey	/preɪ/	n. 猎物；v. 捕食
belief	/bɪˈliːf/	n. 信念
detail	/ˈdiːteɪl/	n. 细节
psychology	/saɪˈkɑːlədʒi/	n. 心理学
crop	/krɑːp/	n. 农作物；作物
brain	/breɪn/	n. 大脑
evidence	/ˈevɪdəns/	n. 证据
hypothesis	/haɪˈpɑːθəsɪs/	n. 假说
cause	/kɔːz/	v. 导致；n. 原因
land	/lænd/	n. 陆地；土地；v. 着陆
condition	/kənˈdɪʃn/	n. 条件；状况
liquid	/ˈlɪkwɪd/	n. 液体
climate	/ˈklaɪmət/	n. 气候
generally	/ˈdʒenərəli/	adv. 通常；一般地
lead	/liːd/	v. 导致；带领
effect	/ɪˈfekt/	n. 影响；效果
benefit	/ˈbenɪfɪt/	n. 益处；v. 受益
bear	/ber/	v. 承受；生育；n. 熊
escape	/ɪˈskeɪp/	v. 逃脱；逃离
