index	term	definition
1	insular	海岛的
2	peninsula	半岛
3	islet	小岛
4	maritime	a 海的，海上的
5	moist	潮湿的
6	ledge	暗礁；突出的部分
7	ebb	退潮
8	terrestrial	陆地的
9	outskirt	n.外边，郊区
10	endemic	地方性的
11	cosmopolitan	世界性的
12	subterrane	n.地下
13	subterranean	地下的
14	cavern	大洞穴
15	cleft	裂缝
16	crevice	裂缝
17	equator	赤道
18	latitude	纬度
19	meridian	子午线
20	subsidiary	a.辅助的；次要的
21	hemisphere	半球
22	contour	n. 轮廓，海岸线
23	lowland	n.低地，苏格兰低地 adj.低地的
24	strait	海峡；痛苦
25	channel	海峡
26	plateau	高原
27	navigation	导航，航行
28	ranges	山脉；范围，一系列
29	salinity	n. 盐度；盐分；盐性
30	sediment	沉淀物
31	elevation	n. 高度，海拔
32	geothermy	地热
33	terrain	地形
34	Topography	地形学
35	temperate	温和的
36	vein	n.静脉，血管，矿脉
37	pit	n.坑,陷阱;煤矿,矿井
38	borehole	钻孔
39	quartz	石英
40	gem	宝石
41	fieldstone	散石，大卵石
42	emerald	n.翡翠 a.翠绿色的
43	granite	n. 花岗岩
44	limestone	n. 石灰石
45	ruby	n.红宝石，红宝石色
46	bonanza	富矿带；幸运，带来好运的事
47	ore	矿石
48	petrify	v.石化；吓呆
49	geology	地质学
50	aluminum	铝
51	core	n.果心；核心)；v.去掉某物的中心部分
52	crater	n.火山口；弹坑
53	glacial	冰川的
54	glacier	n. 冰河，冰川
55	iceberg	冰山
56	tremor	震动
57	seism	n.地震
58	seismic	adj. 地震的；由地震引起的
59	seismology	地震学
60	magnitude	震级
61	cataclysm	n.剧变，灾难(常指大洪水或地震)
62	stratum	地层
63	mantle	n. 地幔
64	lithogenous	岩成的
65	lithosphere	岩石圈
66	layer	n. 层，层次；阶层
67	crust	地壳
68	fault	n.错误；(地质学)断层
69	magma	岩浆
70	squirt	vi. 喷出，溅进
71	gregarious	群居的
72	swarm	一大群(蜜蜂/蚂蚁等）
73	flock	n.羊群；鸟群
74	herd	兽群
75	carnivore	食肉动物
76	carnivorous	食肉的
77	herbivorous	食草的
78	omnivorous	杂食的
79	predator	捕食者
80	predatory	adj. 掠夺的；食肉的
81	prey	n.被捕食的动物
82	poikilotherm	变温动物，冷血动物
